step,reward
1546,-22.0
3134,-22.75
4891,-23.0
6407,-23.0
8129,-22.899999618530273
9832,-22.83333396911621
11365,-22.85714340209961
12828,-22.9375
14432,-23.05555534362793
15924,-23.100000381469727
17635,-23.0
18942,-23.0
20574,-23.038461685180664
22320,-23.0
23956,-22.96666717529297
25775,-22.96875
27312,-22.91176414489746
29224,-22.94444465637207
30911,-22.973684310913086
32480,-22.975000381469727
34273,-23.0
35768,-22.886363983154297
37293,-22.934782028198242
38829,-22.9375
40660,-22.920000076293945
42255,-22.940000534057617
44002,-22.8799991607666
45602,-22.8799991607666
47169,-22.920000076293945
49222,-22.959999084472656
50762,-22.979999542236328
52739,-22.959999084472656
54402,-22.959999084472656
56089,-22.899999618530273
57796,-22.8799991607666
59231,-22.920000076293945
61124,-22.940000534057617
62613,-22.940000534057617
64599,-23.0
66305,-23.040000915527344
67878,-23.040000915527344
69617,-23.059999465942383
71576,-23.059999465942383
74091,-23.059999465942383
76196,-23.040000915527344
78625,-23.040000915527344
80875,-23.139999389648438
82596,-23.100000381469727
84751,-23.100000381469727
87146,-23.15999984741211
89213,-23.219999313354492
91658,-23.260000228881836
94119,-23.280000686645508
96958,-23.260000228881836
100093,-23.239999771118164
105450,-23.219999313354492
109854,-23.280000686645508
113377,-23.299999237060547
116903,-23.31999969482422
120807,-23.34000015258789
123958,-23.360000610351562
128033,-23.3799991607666
131059,-23.360000610351562
136325,-23.31999969482422
143182,-23.34000015258789
153542,-23.3799991607666
161207,-23.440000534057617
170453,-23.459999084472656
182645,-23.459999084472656
191003,-23.5
202679,-23.520000457763672
218870,-23.540000915527344
234066,-23.579999923706055
253380,-23.600000381469727
271488,-23.579999923706055
284761,-23.559999465942383
296110,-23.600000381469727
308700,-23.579999923706055
326465,-23.540000915527344
345953,-23.520000457763672
366713,-23.579999923706055
383030,-23.5
401298,-23.5
415514,-23.459999084472656
428168,-23.440000534057617
441371,-23.299999237060547
453994,-23.239999771118164
466025,-23.239999771118164
483529,-23.219999313354492
497535,-23.15999984741211
505218,-23.1200008392334
518900,-23.059999465942383
530485,-22.979999542236328
543908,-22.899999618530273
558934,-22.8799991607666
573712,-22.860000610351562
588279,-22.84000015258789
605458,-22.739999771118164
619729,-22.65999984741211
631272,-22.639999389648438
647973,-22.600000381469727
663716,-22.579999923706055
677636,-22.559999465942383
691023,-22.540000915527344
709572,-22.540000915527344
723602,-22.479999542236328
735127,-22.479999542236328
748717,-22.440000534057617
760054,-22.479999542236328
772920,-22.440000534057617
788571,-22.479999542236328
798981,-22.479999542236328
809631,-22.420000076293945
819643,-22.399999618530273
834891,-22.420000076293945
846803,-22.420000076293945
863666,-22.399999618530273
873098,-22.420000076293945
881886,-22.399999618530273
892861,-22.360000610351562
904784,-22.34000015258789
917645,-22.31999969482422
933394,-22.31999969482422
947858,-22.280000686645508
968355,-22.280000686645508
982858,-22.299999237060547
992973,-22.260000228881836
